OpenAI API — Monthly LLM Spend Report,,,,,
Synthetic July 2026 example based on the structure of OpenAI's Usage Dashboard exports.,,,,,
,,,,,
Reporting Period,"July 1–31, 2026",,Spend by Model,,
Total API Spend,"$12,847.00",,Model,Total Cost ($),Share
API Requests / Usage Rows,749,,gpt-5.6,"$7,623.45",59.3%
Input Tokens,353972445,,gpt-4.1,"$2,135.73",16.6%
Output Tokens,70123915,,gpt-5-mini,"$2,117.91",16.5%
Cached Read Tokens,112076916,,gpt-4.1-mini,$506.83,3.9%
Projects,4,,o4-mini,$463.09,3.6%
Models,5,,,,
,,,,,
,,,,,
Spend by Project,,,Daily Spend,,
Project,Total Cost ($),Share,Date,Total Cost ($),
Production - AI Assistant,"$6,149.52",47.9%,2026-07-01,$412.41,
Production - Document Analysis,"$3,597.45",28.0%,2026-07-02,$427.46,
Production - AI Search,"$2,600.56",20.2%,2026-07-03,$452.32,
Staging,$499.47,3.9%,2026-07-04,$325.58,
,,,2026-07-05,$406.37,
,,,2026-07-06,$464.33,
,,,2026-07-07,$459.40,
,,,2026-07-08,$386.17,
,,,2026-07-09,$353.82,
,,,2026-07-10,$482.01,
,,,2026-07-11,$398.75,
,,,2026-07-12,$384.36,
,,,2026-07-13,$447.61,
,,,2026-07-14,$323.27,
,,,2026-07-15,$432.67,
,,,2026-07-16,$324.06,
,,,2026-07-17,$342.88,
,,,2026-07-18,$511.42,
,,,2026-07-19,$368.65,
,,,2026-07-20,$392.60,
,,,2026-07-21,$280.98,
,,,2026-07-22,$479.84,
,,,2026-07-23,$313.42,
,,,2026-07-24,$364.11,
,,,2026-07-25,$508.15,
,,,2026-07-26,$433.97,
,,,2026-07-27,$377.33,
,,,2026-07-28,$496.72,
,,,2026-07-29,$478.58,
,,,2026-07-30,$507.82,
,,,2026-07-31,$509.92,
